Team,Side,Playbook,Formation,Play Name
Dolphins,defense,Playbook 4,3-4,6-2
Dolphins,defense,Playbook 4,3-4,3 Deep
Dolphins,defense,Playbook 5,4-4,Split
Dolphins,defense,Playbook 5,4-4,2-4
Dolphins,defense,Playbook 5,4-4,2-4 Dbl Mug
Dolphins,defense,Playbook 5,4-4,3-3 Cub
Dolphins,defense,Playbook 5,4-4,3-3 Odd
Dolphins,defense,Playbook 5,4-4,Triple
Dolphins,defense,Playbook 5,4-4,1-4-6
Dolphins,defense,Playbook 5,4-4,2-3-6
Dolphins,defense,Playbook 5,4-4,2-3-6 Will
Dolphins,defense,Playbook 5,4-4,Over Load
Dolphins,defense,Playbook 5,4-4,5-3
Dolphins,defense,Playbook 5,4-4,6-2
Dolphins,defense,Playbook 5,4-4,3 Deep
Dolphins,defense,Playbook 6,Nickel,2-4
Dolphins,defense,Playbook 6,Nickel,2-4 Dbl Mug
Dolphins,defense,Playbook 6,Nickel,3-3 Cub
Dolphins,defense,Playbook 6,Nickel,3-3 Odd
Dolphins,defense,Playbook 6,Nickel,Triple
Dolphins,defense,Playbook 6,Nickel,1-4-6
Dolphins,defense,Playbook 6,Nickel,2-3-6
Dolphins,defense,Playbook 6,Nickel,2-3-6 Will
Dolphins,defense,Playbook 6,Nickel,Over Load
Dolphins,defense,Playbook 6,Nickel,5-3
Dolphins,defense,Playbook 6,Nickel,6-2
Dolphins,defense,Playbook 6,Nickel,3 Deep
Dolphins,defense,Playbook 7,Dime,1-4-6
Dolphins,defense,Playbook 7,Dime,2-3-6
Dolphins,defense,Playbook 7,Dime,2-3-6 Will
Dolphins,defense,Playbook 7,Dime,Over Load
Dolphins,defense,Playbook 7,Dime,5-3
Dolphins,defense,Playbook 7,Dime,6-2
Dolphins,defense,Playbook 7,Dime,3 Deep
Dolphins,defense,Playbook 8,Quarter,Over Load
Dolphins,defense,Playbook 8,Quarter,5-3
Dolphins,defense,Playbook 8,Quarter,6-2
Dolphins,defense,Playbook 8,Quarter,3 Deep
Dolphins,defense,Playbook 9,Goal Line Defense,5-3
Dolphins,defense,Playbook 9,Goal Line Defense,6-2
Dolphins,defense,Playbook 9,Goal Line Defense,3 Deep
Dolphins,defense,Playbook 10,Prevent,3 Deep
Eagles,offense,Playbook 4,Singleback,Ace Double Wing
Eagles,offense,Playbook 4,Singleback,Deuce Close
Eagles,offense,Playbook 4,Singleback,Wing Tight
Eagles,offense,Playbook 4,Singleback,Wing Tight Z
Eagles,offense,Playbook 4,Singleback,Full House Te
Eagles,offense,Playbook 4,Singleback,Strong Slot Close
Eagles,offense,Playbook 4,Singleback,U Off Stack
Eagles,offense,Playbook 4,Singleback,Wing Flex Close
Eagles,offense,Playbook 4,Singleback,Bunch Open Te
Eagles,offense,Playbook 4,Singleback,Bunch Quads
Eagles,offense,Playbook 4,Singleback,Bunch X Nasty
Eagles,offense,Playbook 4,Singleback,Deuce Close
Eagles,offense,Playbook 4,Singleback,Doubles Off Close Wk
Eagles,offense,Playbook 4,Singleback,Empty Base Flex
Eagles,offense,Playbook 4,Singleback,Empty Bunch Wide
Eagles,offense,Playbook 4,Singleback,Empty Trey Stack
Eagles,offense,Playbook 4,Singleback,Normal Y Off
Eagles,offense,Playbook 4,Singleback,Slot Right
Eagles,offense,Playbook 4,Singleback,Split Flanker Close
Eagles,offense,Playbook 4,Singleback,Split Slot Open
Eagles,offense,Playbook 4,Singleback,Spread Y-Flex Wk
Eagles,offense,Playbook 4,Singleback,Stack Y Off
Eagles,offense,Playbook 4,Singleback,Tight Y Off Wk
Eagles,offense,Playbook 4,Singleback,Trey Open
Eagles,offense,Playbook 4,Singleback,Trips Te Flex
Eagles,offense,Playbook 4,Singleback,Wing Slot Offset
Eagles,offense,Playbook 4,Singleback,Wing Slot Wk
Eagles,offense,Playbook 4,Singleback,Wing Stack
Eagles,offense,Playbook 4,Singleback,Wing Tight Nasty
Eagles,offense,Playbook 4,Singleback,Pro
Eagles,offense,Playbook 4,Singleback,Tight
Eagles,offense,Playbook 4,Singleback,Close
Eagles,offense,Playbook 4,Singleback,Wing
Eagles,offense,Playbook 4,Singleback,Trips Over
Eagles,offense,Playbook 4,Singleback,Normal
Eagles,offense,Playbook 5,Pistol,Full House Te
Eagles,offense,Playbook 5,Pistol,Strong Slot Close
Eagles,offense,Playbook 5,Pistol,U Off Stack
Eagles,offense,Playbook 5,Pistol,Wing Flex Close
Eagles,offense,Playbook 5,Pistol,Bunch Open Te
Eagles,offense,Playbook 5,Pistol,Bunch Quads
Eagles,offense,Playbook 5,Pistol,Bunch X Nasty
Eagles,offense,Playbook 5,Pistol,Deuce Close
Eagles,offense,Playbook 5,Pistol,Doubles Off Close Wk
Eagles,offense,Playbook 5,Pistol,Empty Base Flex
Eagles,offense,Playbook 5,Pistol,Empty Bunch Wide
Eagles,offense,Playbook 5,Pistol,Empty Trey Stack
Eagles,offense,Playbook 5,Pistol,Normal Y Off
Eagles,offense,Playbook 5,Pistol,Slot Right
Eagles,offense,Playbook 5,Pistol,Split Flanker Close
Eagles,offense,Playbook 5,Pistol,Split Slot Open
Eagles,offense,Playbook 5,Pistol,Spread Y-Flex Wk
Eagles,offense,Playbook 5,Pistol,Stack Y Off
Eagles,offense,Playbook 5,Pistol,Tight Y Off Wk
Eagles,offense,Playbook 5,Pistol,Trey Open
Eagles,offense,Playbook 5,Pistol,Trips Te Flex
Eagles,offense,Playbook 5,Pistol,Wing Slot Offset
Eagles,offense,Playbook 5,Pistol,Wing Slot Wk
Eagles,offense,Playbook 5,Pistol,Wing Stack
Eagles,offense,Playbook 5,Pistol,Wing Tight Nasty
Eagles,offense,Playbook 5,Pistol,Pro
Eagles,offense,Playbook 5,Pistol,Tight
Eagles,offense,Playbook 5,Pistol,Close
Eagles,offense,Playbook 5,Pistol,Wing
Eagles,offense,Playbook 5,Pistol,Trips Over
Eagles,offense,Playbook 5,Pistol,Normal
Eagles,offense,Playbook 6,Shotgun,Bunch Open Te
Eagles,offense,Playbook 6,Shotgun,Bunch Quads
Eagles,offense,Playbook 6,Shotgun,Bunch X Nasty
Eagles,offense,Playbook 6,Shotgun,Deuce Close
Eagles,offense,Playbook 6,Shotgun,Doubles Off Close Wk
Eagles,offense,Playbook 6,Shotgun,Empty Base Flex
Eagles,offense,Playbook 6,Shotgun,Empty Bunch Wide
Eagles,offense,Playbook 6,Shotgun,Empty Trey Stack
Eagles,offense,Playbook 6,Shotgun,Normal Y Off
Eagles,offense,Playbook 6,Shotgun,Slot Right
Eagles,offense,Playbook 6,Shotgun,Split Flanker Close
Eagles,offense,Playbook 6,Shotgun,Split Slot Open
Eagles,offense,Playbook 6,Shotgun,Spread Y-Flex Wk
Eagles,offense,Playbook 6,Shotgun,Stack Y Off
Eagles,offense,Playbook 6,Shotgun,Tight Y Off Wk
Eagles,offense,Playbook 6,Shotgun,Trey Open
Eagles,offense,Playbook 6,Shotgun,Trips Te Flex
Eagles,offense,Playbook 6,Shotgun,Wing Slot Offset
Eagles,offense,Playbook 6,Shotgun,Wing Slot Wk
Eagles,offense,Playbook 6,Shotgun,Wing Stack
Eagles,offense,Playbook 6,Shotgun,Wing Tight Nasty
Eagles,offense,Playbook 6,Shotgun,Pro
Eagles,offense,Playbook 6,Shotgun,Tight
Eagles,offense,Playbook 6,Shotgun,Close
Eagles,offense,Playbook 6,Shotgun,Wing
Eagles,offense,Playbook 6,Shotgun,Trips Over
Eagles,offense,Playbook 6,Shotgun,Normal
Eagles,offense,Playbook 7,I Form,Pro
Eagles,offense,Playbook 7,I Form,Tight
Eagles,offense,Playbook 7,I Form,Close
Eagles,offense,Playbook 7,I Form,Wing
Eagles,offense,Playbook 7,I Form,Trips Over
Eagles,offense,Playbook 7,I Form,Normal
Eagles,offense,Playbook 8,Strong I,Close
Eagles,offense,Playbook 8,Strong I,Wing
Eagles,offense,Playbook 8,Strong I,Trips Over
Eagles,offense,Playbook 8,Strong I,Normal
Eagles,offense,Playbook 9,Wildcat,Trips Over
Eagles,offense,Playbook 9,Wildcat,Normal
Eagles,offense,Playbook 10,Goal Line Offense,Normal
Eagles,defense,Playbook 4,3-4,Odd
Eagles,defense,Playbook 4,3-4,Over
Eagles,defense,Playbook 4,3-4,Under
Eagles,defense,Playbook 4,3-4,Even 6-1
Eagles,defense,Playbook 4,3-4,Split
Eagles,defense,Playbook 4,3-4,2-4 Dbl Mug
Eagles,defense,Playbook 4,3-4,3-3 Will
Eagles,defense,Playbook 4,3-4,Penny
Eagles,defense,Playbook 4,3-4,2-3-6
Eagles,defense,Playbook 4,3-4,Rush
Eagles,defense,Playbook 4,3-4,Normal
Eagles,defense,Playbook 4,3-4,5-3
Eagles,defense,Playbook 4,3-4,6-2
Eagles,defense,Playbook 4,3-4,3 Deep
Eagles,defense,Playbook 5,4-3,Even 6-1
Eagles,defense,Playbook 5,4-3,Split
Eagles,defense,Playbook 5,4-3,2-4 Dbl Mug
Eagles,defense,Playbook 5,4-3,3-3 Will
Eagles,defense,Playbook 5,4-3,Penny
Eagles,defense,Playbook 5,4-3,2-3-6
Eagles,defense,Playbook 5,4-3,Rush
Eagles,defense,Playbook 5,4-3,Normal
Eagles,defense,Playbook 5,4-3,5-3
Eagles,defense,Playbook 5,4-3,6-2
Eagles,defense,Playbook 5,4-3,3 Deep
Eagles,defense,Playbook 6,4-4,Split
Eagles,defense,Playbook 6,4-4,2-4 Dbl Mug
Eagles,defense,Playbook 6,4-4,3-3 Will
Eagles,defense,Playbook 6,4-4,Penny
Eagles,defense,Playbook 6,4-4,2-3-6
Eagles,defense,Playbook 6,4-4,Rush
Eagles,defense,Playbook 6,4-4,Normal
Eagles,defense,Playbook 6,4-4,5-3
Eagles,defense,Playbook 6,4-4,6-2
Eagles,defense,Playbook 6,4-4,3 Deep
Eagles,defense,Playbook 7,Nickel,2-4 Dbl Mug
Eagles,defense,Playbook 7,Nickel,3-3 Will
Eagles,defense,Playbook 7,Nickel,Penny
Eagles,defense,Playbook 7,Nickel,2-3-6
Eagles,defense,Playbook 7,Nickel,Rush
Eagles,defense,Playbook 7,Nickel,Normal
Eagles,defense,Playbook 7,Nickel,5-3
Eagles,defense,Playbook 7,Nickel,6-2
Eagles,defense,Playbook 7,Nickel,3 Deep
Eagles,defense,Playbook 8,3-3-5,Penny
Eagles,defense,Playbook 8,3-3-5,2-3-6
Eagles,defense,Playbook 8,3-3-5,Rush
Eagles,defense,Playbook 8,3-3-5,Normal
Eagles,defense,Playbook 8,3-3-5,5-3
Eagles,defense,Playbook 8,3-3-5,6-2
Eagles,defense,Playbook 8,3-3-5,3 Deep
Eagles,defense,Playbook 9,Dime,2-3-6
Eagles,defense,Playbook 9,Dime,Rush
Eagles,defense,Playbook 9,Dime,Normal
Eagles,defense,Playbook 9,Dime,5-3
Eagles,defense,Playbook 9,Dime,6-2
Eagles,defense,Playbook 9,Dime,3 Deep
Eagles,defense,Playbook 10,Quarter,Normal
Eagles,defense,Playbook 10,Quarter,5-3
Eagles,defense,Playbook 10,Quarter,6-2
Eagles,defense,Playbook 10,Quarter,3 Deep
Eagles,defense,Playbook 11,Goal Line Defense,5-3
Eagles,defense,Playbook 11,Goal Line Defense,6-2
Eagles,defense,Playbook 11,Goal Line Defense,3 Deep
Eagles,defense,Playbook 12,Prevent,3 Deep
Falcons,offense,Playbook 4,Singleback,Bunch Ace
Falcons,offense,Playbook 4,Singleback,Deuce Close
Falcons,offense,Playbook 4,Singleback,Tight Y Off
Falcons,offense,Playbook 4,Singleback,Tight Y Off Flex
Falcons,offense,Playbook 4,Singleback,Wing
Falcons,offense,Playbook 4,Singleback,Wing Pair
Falcons,offense,Playbook 4,Singleback,Wing Tight Z
Falcons,offense,Playbook 4,Singleback,Bunch
Falcons,offense,Playbook 4,Singleback,Deuce Close
Falcons,offense,Playbook 4,Singleback,Full House Close
Falcons,offense,Playbook 4,Singleback,Strong Y Off Close
Falcons,offense,Playbook 4,Singleback,Wing Slot
Falcons,offense,Playbook 4,Singleback,Bunch
Falcons,offense,Playbook 4,Singleback,Bunch Offset
Falcons,offense,Playbook 4,Singleback,Bunch Wide Nasty
Falcons,offense,Playbook 4,Singleback,Empty Base Flex
Falcons,offense,Playbook 4,Singleback,Empty Bunch Open
Falcons,offense,Playbook 4,Singleback,Empty Bunch Wide
Falcons,offense,Playbook 4,Singleback,Empty Chips Quads
Falcons,offense,Playbook 4,Singleback,Normal Off Close Wk
Falcons,offense,Playbook 4,Singleback,Normal Y Off Close
Falcons,offense,Playbook 4,Singleback,Spread Y-Slot
Falcons,offense,Playbook 4,Singleback,Spread Y-Slot Wk
Falcons,offense,Playbook 4,Singleback,Tight Flex
Falcons,offense,Playbook 4,Singleback,Tight Open
Falcons,offense,Playbook 4,Singleback,Tight Y Off
Falcons,offense,Playbook 4,Singleback,Tight Y Off Wk
Falcons,offense,Playbook 4,Singleback,Trey Y-Flex
Falcons,offense,Playbook 4,Singleback,Trips Hb Wk
Falcons,offense,Playbook 4,Singleback,Trips Y-Flex
Falcons,offense,Playbook 4,Singleback,Close
Falcons,offense,Playbook 4,Singleback,Slot Stack
Falcons,offense,Playbook 4,Singleback,H Close Off
Falcons,offense,Playbook 4,Singleback,Normal
Falcons,offense,Playbook 5,Pistol,Bunch
Falcons,offense,Playbook 5,Pistol,Deuce Close
Falcons,offense,Playbook 5,Pistol,Full House Close
Falcons,offense,Playbook 5,Pistol,Strong Y Off Close
Falcons,offense,Playbook 5,Pistol,Wing Slot
Falcons,offense,Playbook 5,Pistol,Bunch
Falcons,offense,Playbook 5,Pistol,Bunch Offset
Falcons,offense,Playbook 5,Pistol,Bunch Wide Nasty
Falcons,offense,Playbook 5,Pistol,Empty Base Flex
Falcons,offense,Playbook 5,Pistol,Empty Bunch Open
Falcons,offense,Playbook 5,Pistol,Empty Bunch Wide
Falcons,offense,Playbook 5,Pistol,Empty Chips Quads
Falcons,offense,Playbook 5,Pistol,Normal Off Close Wk
Falcons,offense,Playbook 5,Pistol,Normal Y Off Close
Falcons,offense,Playbook 5,Pistol,Spread Y-Slot
Falcons,offense,Playbook 5,Pistol,Spread Y-Slot Wk
Falcons,offense,Playbook 5,Pistol,Tight Flex
Falcons,offense,Playbook 5,Pistol,Tight Open
Falcons,offense,Playbook 5,Pistol,Tight Y Off
Falcons,offense,Playbook 5,Pistol,Tight Y Off Wk
Falcons,offense,Playbook 5,Pistol,Trey Y-Flex
Falcons,offense,Playbook 5,Pistol,Trips Hb Wk
Falcons,offense,Playbook 5,Pistol,Trips Y-Flex
Falcons,offense,Playbook 5,Pistol,Close
Falcons,offense,Playbook 5,Pistol,Slot Stack
Falcons,offense,Playbook 5,Pistol,H Close Off
Falcons,offense,Playbook 5,Pistol,Normal
Falcons,offense,Playbook 6,Shotgun,Bunch
Falcons,offense,Playbook 6,Shotgun,Bunch Offset
Falcons,offense,Playbook 6,Shotgun,Bunch Wide Nasty
Falcons,offense,Playbook 6,Shotgun,Empty Base Flex
Falcons,offense,Playbook 6,Shotgun,Empty Bunch Open
Falcons,offense,Playbook 6,Shotgun,Empty Bunch Wide
Falcons,offense,Playbook 6,Shotgun,Empty Chips Quads
Falcons,offense,Playbook 6,Shotgun,Normal Off Close Wk
Falcons,offense,Playbook 6,Shotgun,Normal Y Off Close
Falcons,offense,Playbook 6,Shotgun,Spread Y-Slot
Falcons,offense,Playbook 6,Shotgun,Spread Y-Slot Wk
Falcons,offense,Playbook 6,Shotgun,Tight Flex
Falcons,offense,Playbook 6,Shotgun,Tight Open
Falcons,offense,Playbook 6,Shotgun,Tight Y Off
Falcons,offense,Playbook 6,Shotgun,Tight Y Off Wk
Falcons,offense,Playbook 6,Shotgun,Trey Y-Flex
Falcons,offense,Playbook 6,Shotgun,Trips Hb Wk
Falcons,offense,Playbook 6,Shotgun,Trips Y-Flex
Falcons,offense,Playbook 6,Shotgun,Close
Falcons,offense,Playbook 6,Shotgun,Slot Stack
Falcons,offense,Playbook 6,Shotgun,H Close Off
Falcons,offense,Playbook 6,Shotgun,Normal
Falcons,offense,Playbook 7,I Form,Close
Falcons,offense,Playbook 7,I Form,Slot Stack
Falcons,offense,Playbook 7,I Form,H Close Off
Falcons,offense,Playbook 7,I Form,Normal
Falcons,offense,Playbook 8,Weak I,H Close Off
Falcons,offense,Playbook 8,Weak I,Normal
Falcons,offense,Playbook 9,Goal Line Offense,Normal
Falcons,defense,Playbook 4,3-4,Odd
Falcons,defense,Playbook 4,3-4,Over
Falcons,defense,Playbook 4,3-4,Under
Falcons,defense,Playbook 4,3-4,Even 6-1
Falcons,defense,Playbook 4,3-4,2-4
Falcons,defense,Playbook 4,3-4,2-4 Dbl Mug
Falcons,defense,Playbook 4,3-4,Penny
Falcons,defense,Playbook 4,3-4,2-3-6
Falcons,defense,Playbook 4,3-4,Rush
Falcons,defense,Playbook 4,3-4,Normal
Falcons,defense,Playbook 4,3-4,5-3
Falcons,defense,Playbook 4,3-4,6-2
Falcons,defense,Playbook 4,3-4,3 Deep
Falcons,defense,Playbook 5,4-3,Even 6-1
Falcons,defense,Playbook 5,4-3,2-4
Falcons,defense,Playbook 5,4-3,2-4 Dbl Mug
Falcons,defense,Playbook 5,4-3,Penny
Falcons,defense,Playbook 5,4-3,2-3-6
Falcons,defense,Playbook 5,4-3,Rush
Falcons,defense,Playbook 5,4-3,Normal
Falcons,defense,Playbook 5,4-3,5-3
Falcons,defense,Playbook 5,4-3,6-2
Falcons,defense,Playbook 5,4-3,3 Deep
Falcons,defense,Playbook 6,Nickel,2-4
Falcons,defense,Playbook 6,Nickel,2-4 Dbl Mug
Falcons,defense,Playbook 6,Nickel,Penny
Falcons,defense,Playbook 6,Nickel,2-3-6
Falcons,defense,Playbook 6,Nickel,Rush
Falcons,defense,Playbook 6,Nickel,Normal
Falcons,defense,Playbook 6,Nickel,5-3
Falcons,defense,Playbook 6,Nickel,6-2
Falcons,defense,Playbook 6,Nickel,3 Deep
Falcons,defense,Playbook 7,3-3-5,Penny
Falcons,defense,Playbook 7,3-3-5,2-3-6
Falcons,defense,Playbook 7,3-3-5,Rush
Falcons,defense,Playbook 7,3-3-5,Normal
Falcons,defense,Playbook 7,3-3-5,5-3
Falcons,defense,Playbook 7,3-3-5,6-2
Falcons,defense,Playbook 7,3-3-5,3 Deep
Falcons,defense,Playbook 8,Dime,2-3-6
Falcons,defense,Playbook 8,Dime,Rush
Falcons,defense,Playbook 8,Dime,Normal
Falcons,defense,Playbook 8,Dime,5-3
Falcons,defense,Playbook 8,Dime,6-2
Falcons,defense,Playbook 8,Dime,3 Deep
Falcons,defense,Playbook 9,Quarter,Normal
Falcons,defense,Playbook 9,Quarter,5-3
Falcons,defense,Playbook 9,Quarter,6-2
Falcons,defense,Playbook 9,Quarter,3 Deep
Falcons,defense,Playbook 10,Goal Line Defense,5-3
Falcons,defense,Playbook 10,Goal Line Defense,6-2
Falcons,defense,Playbook 10,Goal Line Defense,3 Deep
Falcons,defense,Playbook 11,Prevent,3 Deep
Giants,offense,Playbook 4,Singleback,Bunch Ace
Giants,offense,Playbook 4,Singleback,Deuce Close
Giants,offense,Playbook 4,Singleback,Doubles
Giants,offense,Playbook 4,Singleback,Tight Y Off
Giants,offense,Playbook 4,Singleback,Trio
Giants,offense,Playbook 4,Singleback,Wing Pair
Giants,offense,Playbook 4,Singleback,Wing Slot
Giants,offense,Playbook 4,Singleback,Y Trips
Giants,offense,Playbook 4,Singleback,Deuce Close
Giants,offense,Playbook 4,Singleback,Open Flex Close
Giants,offense,Playbook 4,Singleback,Bunch Open Te
Giants,offense,Playbook 4,Singleback,Bunch Y-Flex
Giants,offense,Playbook 4,Singleback,Doubles Hip
Giants,offense,Playbook 4,Singleback,Doubles Off Close
Giants,offense,Playbook 4,Singleback,Doubles Off Close Wk
Giants,offense,Playbook 4,Singleback,Doubles Offset Wk
Giants,offense,Playbook 4,Singleback,Doubles Z Close Wk
Giants,offense,Playbook 4,Singleback,Empty Base Trio
Giants,offense,Playbook 4,Singleback,Empty Chips
Giants,offense,Playbook 4,Singleback,Slot Left
Giants,offense,Playbook 4,Singleback,Spread Y-Slot Wk
Giants,offense,Playbook 4,Singleback,Stack Y-Flex
Giants,offense,Playbook 4,Singleback,Tight Open
Giants,offense,Playbook 4,Singleback,Tight Y Off Wk
Giants,offense,Playbook 4,Singleback,Trips Te Flex
Giants,offense,Playbook 4,Singleback,Trips Te Offset
Giants,offense,Playbook 4,Singleback,Trips Te Offset Wk
Giants,offense,Playbook 4,Singleback,U Off Trips
Giants,offense,Playbook 4,Singleback,Wing Slot Offset
Giants,offense,Playbook 4,Singleback,Y Off Trips Nasty
Giants,offense,Playbook 4,Singleback,Y Off Trips Wk
Giants,offense,Playbook 4,Singleback,Pro
Giants,offense,Playbook 4,Singleback,Slot Stack
Giants,offense,Playbook 4,Singleback,Y Off Close
Giants,offense,Playbook 4,Singleback,Close Flex
Giants,offense,Playbook 4,Singleback,Normal
Giants,offense,Playbook 5,Pistol,Deuce Close
Giants,offense,Playbook 5,Pistol,Open Flex Close
Giants,offense,Playbook 5,Pistol,Bunch Open Te
Giants,offense,Playbook 5,Pistol,Bunch Y-Flex
Giants,offense,Playbook 5,Pistol,Doubles Hip
Giants,offense,Playbook 5,Pistol,Doubles Off Close
Giants,offense,Playbook 5,Pistol,Doubles Off Close Wk
Giants,offense,Playbook 5,Pistol,Doubles Offset Wk
Giants,offense,Playbook 5,Pistol,Doubles Z Close Wk
Giants,offense,Playbook 5,Pistol,Empty Base Trio
Giants,offense,Playbook 5,Pistol,Empty Chips
Giants,offense,Playbook 5,Pistol,Slot Left
Giants,offense,Playbook 5,Pistol,Spread Y-Slot Wk
Giants,offense,Playbook 5,Pistol,Stack Y-Flex
Giants,offense,Playbook 5,Pistol,Tight Open
Giants,offense,Playbook 5,Pistol,Tight Y Off Wk
Giants,offense,Playbook 5,Pistol,Trips Te Flex
Giants,offense,Playbook 5,Pistol,Trips Te Offset
Giants,offense,Playbook 5,Pistol,Trips Te Offset Wk
Giants,offense,Playbook 5,Pistol,U Off Trips
Giants,offense,Playbook 5,Pistol,Wing Slot Offset
Giants,offense,Playbook 5,Pistol,Y Off Trips Nasty
Giants,offense,Playbook 5,Pistol,Y Off Trips Wk
Giants,offense,Playbook 5,Pistol,Pro
Giants,offense,Playbook 5,Pistol,Slot Stack
Giants,offense,Playbook 5,Pistol,Y Off Close
Giants,offense,Playbook 5,Pistol,Close Flex
Giants,offense,Playbook 5,Pistol,Normal
Giants,offense,Playbook 6,Shotgun,Bunch Open Te
Giants,offense,Playbook 6,Shotgun,Bunch Y-Flex
Giants,offense,Playbook 6,Shotgun,Doubles Hip
Giants,offense,Playbook 6,Shotgun,Doubles Off Close
Giants,offense,Playbook 6,Shotgun,Doubles Off Close Wk
Giants,offense,Playbook 6,Shotgun,Doubles Offset Wk
Giants,offense,Playbook 6,Shotgun,Doubles Z Close Wk
Giants,offense,Playbook 6,Shotgun,Empty Base Trio
Giants,offense,Playbook 6,Shotgun,Empty Chips
Giants,offense,Playbook 6,Shotgun,Slot Left
Giants,offense,Playbook 6,Shotgun,Spread Y-Slot Wk
Giants,offense,Playbook 6,Shotgun,Stack Y-Flex
Giants,offense,Playbook 6,Shotgun,Tight Open
Giants,offense,Playbook 6,Shotgun,Tight Y Off Wk
Giants,offense,Playbook 6,Shotgun,Trips Te Flex
Giants,offense,Playbook 6,Shotgun,Trips Te Offset
Giants,offense,Playbook 6,Shotgun,Trips Te Offset Wk
Giants,offense,Playbook 6,Shotgun,U Off Trips
Giants,offense,Playbook 6,Shotgun,Wing Slot Offset
Giants,offense,Playbook 6,Shotgun,Y Off Trips Nasty
Giants,offense,Playbook 6,Shotgun,Y Off Trips Wk
Giants,offense,Playbook 6,Shotgun,Pro
Giants,offense,Playbook 6,Shotgun,Slot Stack
Giants,offense,Playbook 6,Shotgun,Y Off Close
Giants,offense,Playbook 6,Shotgun,Close Flex
Giants,offense,Playbook 6,Shotgun,Normal
Giants,offense,Playbook 7,I Form,Pro
Giants,offense,Playbook 7,I Form,Slot Stack
Giants,offense,Playbook 7,I Form,Y Off Close
Giants,offense,Playbook 7,I Form,Close Flex
Giants,offense,Playbook 7,I Form,Normal
Giants,offense,Playbook 8,Strong I,Close Flex
Giants,offense,Playbook 8,Strong I,Normal
Giants,offense,Playbook 9,Goal Line Offense,Normal
Giants,defense,Playbook 4,3-4,Even
Giants,defense,Playbook 4,3-4,Over Ed
Giants,defense,Playbook 4,3-4,Under
Giants,defense,Playbook 4,3-4,Split
Giants,defense,Playbook 4,3-4,2-4
Giants,defense,Playbook 4,3-4,2-4 Dbl Mug
Giants,defense,Playbook 4,3-4,3-3 Cub
Giants,defense,Playbook 4,3-4,1-4-6
Giants,defense,Playbook 4,3-4,2-3-6 Will
Giants,defense,Playbook 4,3-4,Sugar 3-2
Giants,defense,Playbook 4,3-4,Normal
Giants,defense,Playbook 4,3-4,5-3
Giants,defense,Playbook 4,3-4,3 Deep
Giants,defense,Playbook 5,4-4,Split
Giants,defense,Playbook 5,4-4,2-4
Giants,defense,Playbook 5,4-4,2-4 Dbl Mug
Giants,defense,Playbook 5,4-4,3-3 Cub
Giants,defense,Playbook 5,4-4,1-4-6
Giants,defense,Playbook 5,4-4,2-3-6 Will
Giants,defense,Playbook 5,4-4,Sugar 3-2
Giants,defense,Playbook 5,4-4,Normal
Giants,defense,Playbook 5,4-4,5-3
Giants,defense,Playbook 5,4-4,3 Deep
Giants,defense,Playbook 6,Nickel,2-4
Giants,defense,Playbook 6,Nickel,2-4 Dbl Mug
Giants,defense,Playbook 6,Nickel,3-3 Cub
Giants,defense,Playbook 6,Nickel,1-4-6
Giants,defense,Playbook 6,Nickel,2-3-6 Will
Giants,defense,Playbook 6,Nickel,Sugar 3-2
Giants,defense,Playbook 6,Nickel,Normal
Giants,defense,Playbook 6,Nickel,5-3
Giants,defense,Playbook 6,Nickel,3 Deep
Giants,defense,Playbook 7,Dime,1-4-6
Giants,defense,Playbook 7,Dime,2-3-6 Will
Giants,defense,Playbook 7,Dime,Sugar 3-2
Giants,defense,Playbook 7,Dime,Normal
Giants,defense,Playbook 7,Dime,5-3
Giants,defense,Playbook 7,Dime,3 Deep
Giants,defense,Playbook 8,Dollar,Sugar 3-2
Giants,defense,Playbook 8,Dollar,Normal
Giants,defense,Playbook 8,Dollar,5-3
Giants,defense,Playbook 8,Dollar,3 Deep
Giants,defense,Playbook 9,Quarter,Normal
Giants,defense,Playbook 9,Quarter,5-3
Giants,defense,Playbook 9,Quarter,3 Deep
Giants,defense,Playbook 10,Goal Line Defense,5-3
Giants,defense,Playbook 10,Goal Line Defense,3 Deep
Giants,defense,Playbook 11,Prevent,3 Deep
Jaguars,offense,Playbook 4,Singleback,Bunch X Nasty
Jaguars,offense,Playbook 4,Singleback,Deuce Close
Jaguars,offense,Playbook 4,Singleback,Tight Y Off
Jaguars,offense,Playbook 4,Singleback,U Off Trips
Jaguars,offense,Playbook 4,Singleback,Wing
Jaguars,offense,Playbook 4,Singleback,Wing Pair
Jaguars,offense,Playbook 4,Singleback,Wing Slot
Jaguars,offense,Playbook 4,Singleback,Wing Stack
Jaguars,offense,Playbook 4,Singleback,Wing Tight Left
Jaguars,offense,Playbook 4,Singleback,Philly
Jaguars,offense,Playbook 4,Singleback,Strong Y Off Close
Jaguars,offense,Playbook 4,Singleback,Wing Flex
Jaguars,offense,Playbook 4,Singleback,Bunch Open Te
Jaguars,offense,Playbook 4,Singleback,Bunch Wide Nasty
Jaguars,offense,Playbook 4,Singleback,Bunch X Nasty
Jaguars,offense,Playbook 4,Singleback,Double Stack
Jaguars,offense,Playbook 4,Singleback,Doubles Offset
Jaguars,offense,Playbook 4,Singleback,Doubles Offset Wk
